Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Physical exercise,Calories
50.0,Female,71.0,1.68,187.0,161.0,70.0,1.17,848.0,Yoga,33.1,2.5,2.0,1.0,25.16,0,2392.498
29.0,Male,120.9,1.78,197.0,168.0,65.0,0.78,721.0,Yoga,28.1,3.4,2.0,1.0,38.16,0,1716.302
39.0,Female,64.3,1.69,190.0,148.0,58.0,1.25,925.0,HIIT,26.9,1.9,4.0,2.0,22.51,2,2480.003
42.0,Female,63.7,1.71,173.0,169.0,62.0,1.42,1080.0,Yoga,26.1,1.8,3.0,2.0,21.78,0,2394.0
44.0,Male,65.2,1.8,192.0,139.0,68.0,0.73,502.0,HIIT,27.2,2.7,2.0,1.0,20.12,0,1629.298
59.0,Male,53.9,1.75,168.0,135.0,69.0,1.48,989.0,Strength,21.6,2.8,4.0,2.0,17.6,1,2167.345
45.0,Male,84.9,1.86,186.0,136.0,66.0,1.64,1104.0,HIIT,14.2,3.5,5.0,3.0,24.54,0,2046.0
33.0,Female,78.0,1.68,183.0,135.0,55.0,1.29,871.0,HIIT,32.3,1.8,3.0,2.0,27.64,0,1630.8
32.0,Male,108.2,1.8,172.0,138.0,53.0,1.27,964.0,HIIT,28.4,3.5,3.0,1.0,33.4,4,3163.502
20.0,Female,65.4,1.52,185.0,127.0,50.0,1.03,654.0,Yoga,28.0,2.2,4.0,2.0,28.31,0,1587.0
54.0,Female,50.2,1.61,188.0,157.0,67.0,1.48,1046.0,HIIT,28.2,2.7,2.0,1.0,19.37,1,2495.628
24.0,Female,58.9,1.51,187.0,157.0,68.0,1.04,816.0,Cardio,31.7,2.5,2.0,1.0,25.83,0,1620.0
38.0,Male,81.4,1.71,187.0,148.0,58.0,1.52,1237.0,HIIT,10.2,3.5,5.0,3.0,27.84,0,1636.498
26.0,Male,127.6,1.73,167.0,160.0,62.0,1.32,1162.0,Strength,27.3,2.9,3.0,1.0,42.63,0,2368.498
56.0,Female,59.3,1.56,182.0,155.0,57.0,1.26,879.0,Cardio,33.4,2.6,4.0,2.0,24.37,0,2431.502
35.0,Male,96.9,1.71,188.0,145.0,72.0,1.34,1069.0,Strength,24.2,2.9,3.0,2.0,33.14,1,2107.531
21.0,Male,62.6,1.81,164.0,150.0,62.0,1.3,1072.0,Strength,27.6,3.5,4.0,2.0,19.11,0,1944.0
42.0,Male,45.5,1.6,166.0,163.0,64.0,1.31,1057.0,Strength,21.7,2.6,3.0,2.0,17.77,0,2131.502
31.0,Female,48.8,1.51,195.0,131.0,60.0,1.48,969.0,Cardio,28.2,2.0,2.0,1.0,21.4,0,1831.8
26.0,Female,44.3,1.6,186.0,136.0,61.0,1.08,734.0,Cardio,34.7,2.0,3.0,1.0,17.3,0,1683.298
43.0,Male,113.2,1.83,161.0,134.0,63.0,1.45,962.0,Yoga,29.9,2.9,4.0,2.0,33.8,0,2304.0
19.0,Female,60.5,1.59,184.0,128.0,53.0,1.14,730.0,Cardio,30.1,2.2,2.0,1.0,23.93,0,1632.302
37.0,Male,124.2,1.76,168.0,158.0,50.0,1.5,1304.0,HIIT,29.3,2.8,2.0,1.0,40.1,0,1762.498
45.0,Male,52.4,1.85,186.0,161.0,73.0,1.2,956.0,Strength,25.2,2.5,3.0,1.0,15.31,0,1948.8
24.0,Male,54.7,1.74,160.0,167.0,53.0,0.84,772.0,Yoga,22.9,3.6,3.0,1.0,18.07,1,2634.84
25.0,Male,88.1,1.95,182.0,131.0,68.0,1.41,1016.0,Cardio,22.7,3.0,2.0,1.0,23.17,0,2253.0
52.0,Female,59.7,1.71,169.0,151.0,58.0,1.23,836.0,Strength,34.3,2.0,3.0,1.0,20.42,0,1438.8
31.0,Female,79.7,1.54,184.0,144.0,59.0,1.03,742.0,Cardio,26.7,2.3,4.0,2.0,33.61,0,2421.0
34.0,Female,51.0,1.62,162.0,158.0,53.0,1.42,1122.0,Yoga,30.8,2.4,3.0,2.0,19.43,0,1746.302
53.0,Male,84.2,1.76,165.0,137.0,69.0,1.67,1133.0,Cardio,12.8,3.5,5.0,3.0,27.18,0,2007.298
57.0,Male,122.1,1.89,165.0,134.0,58.0,1.13,750.0,Cardio,27.4,3.6,3.0,1.0,34.18,0,1579.502
21.0,Male,96.7,1.72,161.0,151.0,62.0,1.26,1046.0,Strength,25.0,2.8,3.0,1.0,32.69,0,1548.302
19.0,Female,73.0,1.79,177.0,125.0,61.0,0.81,506.0,HIIT,27.7,1.6,3.0,1.0,22.78,0,1756.8
23.0,Male,114.8,1.6,182.0,163.0,60.0,1.47,1318.0,Cardio,21.7,2.7,4.0,2.0,44.84,0,2158.8
59.0,Female,65.5,1.52,161.0,162.0,61.0,1.4,1021.0,Yoga,31.2,2.1,3.0,2.0,28.35,0,1615.8
21.0,Female,50.3,1.52,171.0,154.0,67.0,1.08,832.0,Cardio,32.2,2.6,3.0,1.0,21.77,0,1705.8
46.0,Female,61.0,1.71,181.0,153.0,61.0,1.67,1150.0,Cardio,17.8,2.7,4.0,3.0,20.86,0,1428.302
35.0,Female,44.6,1.62,196.0,157.0,65.0,0.56,440.0,HIIT,32.4,2.0,2.0,1.0,16.99,0,1377.298
43.0,Female,58.2,1.61,179.0,124.0,54.0,1.04,580.0,Strength,26.4,2.6,3.0,2.0,22.45,1,1958.003
51.0,Female,44.8,1.63,198.0,137.0,69.0,1.08,666.0,Yoga,33.8,2.1,4.0,2.0,16.86,1,1670.967
27.0,Male,87.5,1.63,183.0,135.0,74.0,1.75,1299.0,Strength,12.9,3.5,5.0,3.0,32.93,4,3272.756
53.0,Male,51.8,1.74,179.0,127.0,61.0,1.23,773.0,Strength,21.3,3.7,3.0,2.0,17.11,1,2461.25
31.0,Female,64.4,1.7,160.0,144.0,70.0,1.97,1418.0,Strength,17.3,2.7,5.0,3.0,22.28,3,2695.316
48.0,Female,67.1,1.61,160.0,151.0,74.0,0.62,421.0,Cardio,33.4,1.5,2.0,1.0,25.89,0,1666.8
32.0,Male,85.9,1.6,176.0,145.0,60.0,1.99,1587.0,HIIT,14.5,3.5,5.0,3.0,33.55,0,1591.502
25.0,Female,65.4,1.77,160.0,141.0,58.0,0.89,627.0,Cardio,27.6,2.6,3.0,1.0,20.88,0,2299.502
31.0,Female,61.1,1.76,189.0,150.0,67.0,1.81,1358.0,Yoga,18.6,2.7,4.0,3.0,19.72,0,1476.302
40.0,Male,106.5,1.65,162.0,162.0,74.0,1.32,1176.0,HIIT,21.0,3.6,4.0,2.0,39.12,0,1954.8
57.0,Female,64.0,1.52,170.0,129.0,52.0,1.73,1004.0,Strength,15.2,2.7,5.0,3.0,27.7,0,1662.0
38.0,Female,61.4,1.54,183.0,131.0,69.0,1.47,963.0,HIIT,30.6,2.7,3.0,2.0,25.89,0,1560.0
33.0,Female,40.5,1.63,181.0,147.0,66.0,1.07,786.0,Yoga,31.9,1.5,4.0,2.0,15.24,0,2242.498
35.0,Male,70.1,1.79,185.0,125.0,63.0,1.08,743.0,Cardio,28.0,2.3,3.0,2.0,21.88,0,2389.502
41.0,Male,94.1,1.62,172.0,139.0,50.0,1.13,777.0,Cardio,23.4,3.1,4.0,2.0,35.86,0,2158.498
43.0,Male,55.5,1.82,160.0,124.0,66.0,1.08,663.0,Strength,20.1,2.0,3.0,1.0,16.76,0,2194.498
42.0,Female,53.7,1.72,183.0,142.0,74.0,1.37,875.0,Cardio,29.8,1.6,3.0,1.0,18.15,0,2478.0
58.0,Female,66.1,1.75,169.0,128.0,57.0,0.63,363.0,Cardio,25.2,1.8,2.0,1.0,21.58,0,1800.0
46.0,Male,103.9,1.77,194.0,148.0,54.0,1.18,864.0,Yoga,20.9,2.9,2.0,1.0,33.16,0,1318.8
32.0,Female,61.7,1.58,183.0,135.0,54.0,1.87,1262.0,HIIT,16.6,2.7,5.0,3.0,24.72,0,1620.0
18.0,Female,52.3,1.74,187.0,165.0,58.0,1.2,990.0,Cardio,29.4,2.2,2.0,1.0,17.27,0,2383.502
42.0,Female,59.5,1.74,195.0,141.0,52.0,1.78,1129.0,Yoga,16.4,2.7,5.0,3.0,19.65,0,1614.302
24.0,Female,72.9,1.76,175.0,127.0,68.0,0.86,546.0,Yoga,30.8,1.5,3.0,1.0,23.53,1,1739.723
26.0,Female,76.7,1.63,199.0,139.0,72.0,1.08,751.0,Strength,25.6,1.7,2.0,1.0,28.87,1,2260.163
41.0,Male,72.1,1.83,175.0,133.0,58.0,1.13,744.0,Yoga,21.4,2.8,3.0,2.0,21.53,0,1741.502
18.0,Female,54.8,1.68,176.0,158.0,71.0,1.27,1003.0,Strength,32.0,2.2,4.0,2.0,19.42,0,2044.8
25.0,Male,105.0,1.88,174.0,156.0,67.0,1.34,1150.0,Cardio,21.4,2.3,3.0,2.0,29.71,0,1588.8
41.0,Female,55.0,1.55,175.0,169.0,65.0,1.45,1103.0,Strength,31.4,2.0,4.0,2.0,22.89,0,1734.302
28.0,Male,81.6,1.66,174.0,153.0,50.0,1.09,917.0,Yoga,20.5,3.5,4.0,2.0,29.61,3,1930.27
34.0,Female,75.6,1.6,193.0,130.0,51.0,0.64,416.0,HIIT,29.1,2.7,2.0,1.0,29.53,0,2388.0
25.0,Male,81.5,1.61,170.0,159.0,63.0,1.93,1688.0,HIIT,10.9,3.5,4.0,3.0,31.44,0,1557.298
52.0,Female,61.5,1.69,160.0,152.0,63.0,1.8,1231.0,Cardio,15.5,2.7,4.0,3.0,21.53,4,2907.0
52.0,Male,74.0,1.63,174.0,150.0,50.0,1.26,936.0,Cardio,25.7,3.7,3.0,2.0,27.85,2,2458.684
50.0,Female,56.4,1.59,185.0,163.0,74.0,1.26,924.0,HIIT,34.3,2.6,3.0,1.0,22.31,0,2391.0
22.0,Male,102.6,1.84,163.0,153.0,65.0,1.25,1052.0,Strength,20.5,2.7,3.0,2.0,30.3,0,1836.302
59.0,Female,54.6,1.57,164.0,169.0,64.0,0.58,441.0,Cardio,29.2,2.3,3.0,1.0,22.15,1,2139.84
56.0,Male,129.0,1.78,194.0,126.0,64.0,1.29,805.0,Yoga,27.1,2.7,2.0,1.0,40.71,0,1396.8
58.0,Male,103.5,1.66,172.0,168.0,61.0,1.33,1106.0,Cardio,24.6,3.1,3.0,1.0,37.56,0,1779.298
45.0,Female,59.4,1.51,169.0,142.0,65.0,1.15,735.0,Strength,33.1,1.9,4.0,2.0,26.05,0,1891.8
24.0,Female,60.1,1.79,170.0,165.0,63.0,1.97,1625.0,Cardio,15.9,2.7,4.0,3.0,18.76,0,1783.502
26.0,Male,77.7,1.62,177.0,126.0,73.0,1.16,804.0,Yoga,29.6,3.0,3.0,2.0,29.61,0,1638.302
25.0,Female,41.2,1.62,193.0,144.0,64.0,1.49,1073.0,Yoga,28.9,2.1,4.0,2.0,15.7,0,1363.8
29.0,Male,58.6,1.61,198.0,122.0,72.0,1.2,805.0,Yoga,23.4,2.0,3.0,2.0,22.61,0,1744.8
51.0,Male,109.3,1.78,182.0,157.0,64.0,0.54,420.0,Strength,28.7,3.3,3.0,1.0,34.5,0,1437.298
50.0,Male,69.6,1.96,166.0,139.0,68.0,0.97,667.0,Strength,25.6,2.0,3.0,1.0,18.12,0,1938.302
40.0,Female,56.2,1.79,198.0,153.0,57.0,1.79,1369.0,Yoga,17.6,2.7,5.0,3.0,17.54,0,1761.0
41.0,Male,71.7,1.96,162.0,168.0,51.0,0.51,424.0,Yoga,27.3,2.5,2.0,1.0,18.66,2,2166.513
54.0,Male,86.0,1.93,171.0,163.0,51.0,1.74,1404.0,Strength,12.9,3.5,5.0,3.0,23.09,1,2088.277
52.0,Female,79.4,1.59,166.0,163.0,59.0,1.39,1020.0,Strength,26.6,1.5,3.0,2.0,31.41,0,2022.302
57.0,Female,78.4,1.62,185.0,149.0,52.0,1.01,677.0,Strength,31.7,2.0,4.0,2.0,29.87,1,1483.622
39.0,Female,55.4,1.6,192.0,136.0,72.0,1.44,979.0,HIIT,26.3,1.6,3.0,2.0,21.64,0,1846.8
44.0,Female,61.7,1.55,196.0,129.0,66.0,1.41,819.0,Strength,33.1,2.6,4.0,2.0,25.68,0,1876.8
52.0,Male,85.5,1.82,174.0,154.0,57.0,1.78,1357.0,Yoga,14.9,3.5,4.0,3.0,25.81,1,2698.44
18.0,Male,87.6,1.93,161.0,139.0,72.0,1.72,1315.0,HIIT,11.9,3.5,4.0,3.0,23.52,0,1651.502
52.0,Male,82.4,1.72,166.0,137.0,53.0,1.01,685.0,Strength,24.4,2.7,4.0,2.0,27.85,0,1771.502
54.0,Male,67.0,1.68,191.0,164.0,63.0,0.55,446.0,Yoga,20.5,2.8,3.0,1.0,23.74,4,3011.499
31.0,Female,42.3,1.6,163.0,163.0,70.0,1.09,888.0,Cardio,25.1,1.9,3.0,2.0,16.52,0,1536.302
20.0,Male,82.7,1.99,179.0,146.0,59.0,1.69,1357.0,HIIT,14.6,3.5,5.0,3.0,20.88,0,1618.8
18.0,Male,92.4,1.74,195.0,168.0,50.0,1.41,1303.0,Yoga,21.3,3.1,2.0,1.0,30.52,0,2257.502
22.0,Female,63.2,1.54,191.0,155.0,53.0,1.02,790.0,Cardio,29.5,2.4,4.0,2.0,26.65,0,2016.302
43.0,Male,82.7,1.85,187.0,142.0,50.0,1.22,858.0,Yoga,28.2,3.1,4.0,2.0,24.16,0,1246.8
31.0,Male,86.6,1.76,172.0,151.0,66.0,1.29,1071.0,Strength,28.9,3.3,3.0,2.0,27.96,3,2249.4
56.0,Male,129.5,1.95,160.0,129.0,66.0,1.0,639.0,Strength,25.2,3.5,2.0,1.0,34.06,0,2364.0
44.0,Male,98.0,1.83,194.0,130.0,56.0,1.28,824.0,Cardio,25.7,3.5,4.0,2.0,29.26,0,1881.0
26.0,Male,86.2,1.68,189.0,157.0,72.0,1.97,1701.0,Strength,13.3,3.5,5.0,3.0,30.54,0,2029.8
32.0,Male,78.6,1.62,195.0,125.0,69.0,1.28,880.0,Yoga,29.6,3.1,3.0,1.0,29.95,0,2368.498
32.0,Female,59.0,1.66,184.0,160.0,64.0,0.51,408.0,Cardio,31.0,1.8,2.0,1.0,21.41,0,2271.0
43.0,Female,57.3,1.79,175.0,166.0,62.0,1.98,1479.0,Yoga,17.8,2.7,4.0,3.0,17.88,0,2067.0
59.0,Male,122.3,1.89,178.0,153.0,51.0,0.66,500.0,Yoga,20.1,3.1,3.0,1.0,34.24,0,1410.302
30.0,Male,85.3,1.95,160.0,155.0,68.0,1.61,1373.0,Yoga,10.4,3.5,5.0,3.0,22.43,1,2265.31
49.0,Female,45.2,1.74,164.0,156.0,73.0,1.24,870.0,Strength,30.8,2.1,3.0,2.0,14.93,0,1779.298
56.0,Male,55.6,1.92,181.0,136.0,62.0,0.68,458.0,Strength,29.4,3.2,3.0,1.0,15.08,0,1647.298
49.0,Male,82.8,1.95,183.0,159.0,73.0,1.91,1503.0,Yoga,14.3,3.5,5.0,3.0,21.78,0,2154.0
21.0,Male,125.2,1.66,196.0,159.0,60.0,1.38,1207.0,HIIT,29.8,3.4,3.0,2.0,45.43,4,3479.375
47.0,Female,58.5,1.79,195.0,131.0,71.0,1.42,837.0,Yoga,30.3,2.4,4.0,2.0,18.26,0,1695.298
54.0,Male,86.1,1.95,195.0,140.0,64.0,1.17,811.0,Yoga,27.9,3.4,2.0,1.0,22.64,0,2155.502
40.0,Female,63.5,1.61,163.0,159.0,59.0,1.31,1041.0,Cardio,33.4,1.6,3.0,2.0,24.5,0,2266.498
56.0,Male,69.3,1.68,195.0,138.0,58.0,0.66,451.0,Yoga,26.5,2.1,2.0,1.0,24.55,0,2490.0
32.0,Female,70.5,1.62,177.0,122.0,58.0,1.24,756.0,Strength,28.4,1.8,2.0,1.0,26.86,0,1606.498
46.0,Female,60.1,1.65,175.0,137.0,69.0,1.69,1042.0,Cardio,17.3,2.7,4.0,3.0,22.08,1,2499.062
53.0,Male,94.1,1.95,177.0,138.0,50.0,0.89,608.0,HIIT,28.6,3.5,3.0,1.0,24.75,0,1300.8
30.0,Female,79.2,1.62,181.0,166.0,66.0,1.26,1046.0,Cardio,28.0,2.5,4.0,2.0,30.18,0,1734.302
49.0,Male,115.3,1.91,161.0,125.0,61.0,1.38,854.0,HIIT,29.2,3.2,2.0,1.0,31.61,0,1776.302
24.0,Female,62.9,1.79,180.0,135.0,59.0,1.42,958.0,Cardio,27.3,2.3,4.0,2.0,19.63,0,2431.502
39.0,Male,62.0,1.64,195.0,127.0,54.0,0.97,678.0,Cardio,27.5,3.2,3.0,1.0,23.05,3,3316.316
45.0,Male,88.5,1.78,198.0,167.0,67.0,1.53,1265.0,HIIT,13.2,3.5,4.0,3.0,27.93,0,1389.298
19.0,Female,73.9,1.77,198.0,137.0,64.0,1.28,877.0,Strength,32.5,2.6,3.0,2.0,23.59,3,2727.658
59.0,Male,50.3,1.95,188.0,167.0,55.0,1.07,885.0,Strength,24.4,3.4,3.0,1.0,13.23,0,1645.502
23.0,Male,83.1,1.8,185.0,162.0,56.0,0.7,624.0,Strength,29.3,3.1,3.0,1.0,25.65,0,1755.0
45.0,Female,65.1,1.78,180.0,158.0,66.0,1.46,1038.0,Cardio,31.3,2.3,3.0,1.0,20.55,1,2299.684
45.0,Male,46.6,1.79,176.0,168.0,55.0,1.46,1214.0,Yoga,22.9,2.4,3.0,2.0,14.54,0,1672.8
37.0,Male,103.5,1.89,175.0,168.0,57.0,0.54,499.0,Cardio,26.4,3.1,2.0,1.0,28.97,1,2285.938
47.0,Female,61.9,1.54,190.0,131.0,61.0,1.95,1150.0,Yoga,16.4,2.7,4.0,3.0,26.1,0,1813.502
28.0,Female,52.0,1.61,168.0,164.0,70.0,1.32,1082.0,Yoga,27.9,2.0,3.0,2.0,20.06,0,1929.0
45.0,Male,113.4,1.71,190.0,129.0,63.0,0.83,530.0,Strength,24.0,2.3,2.0,1.0,38.78,0,1683.0
42.0,Male,62.9,1.98,173.0,126.0,61.0,1.42,886.0,Yoga,28.5,3.4,4.0,2.0,16.04,0,1597.502
56.0,Female,40.4,1.8,196.0,165.0,72.0,1.23,913.0,Cardio,30.0,2.1,4.0,2.0,12.47,0,1768.8
50.0,Female,67.1,1.75,161.0,120.0,59.0,0.67,362.0,Cardio,31.8,2.7,3.0,1.0,21.91,0,2034.0
18.0,Male,70.0,1.61,173.0,168.0,71.0,1.3,1201.0,Strength,23.9,2.5,2.0,1.0,27.01,0,1669.502
44.0,Female,69.5,1.75,192.0,155.0,69.0,1.02,711.0,HIIT,27.6,2.1,3.0,1.0,22.69,0,1818.0
30.0,Male,107.9,1.66,194.0,140.0,64.0,1.08,832.0,Cardio,29.5,2.8,3.0,2.0,39.16,2,2381.185
58.0,Male,109.0,1.91,198.0,156.0,56.0,1.49,1151.0,Yoga,26.0,2.2,3.0,2.0,29.88,0,2448.0
20.0,Male,101.0,1.91,179.0,143.0,58.0,1.36,1070.0,Cardio,29.3,2.7,3.0,2.0,27.69,0,2100.0
56.0,Male,88.5,1.85,161.0,144.0,59.0,1.57,1119.0,Cardio,11.0,3.5,4.0,3.0,25.86,0,1774.8
23.0,Male,80.9,1.8,178.0,126.0,59.0,1.55,1074.0,Cardio,10.7,3.5,4.0,3.0,24.97,0,1734.0
25.0,Female,43.1,1.62,196.0,161.0,65.0,1.04,837.0,HIIT,33.6,1.8,4.0,2.0,16.42,4,3127.87
44.0,Female,59.1,1.52,177.0,136.0,56.0,1.58,967.0,Yoga,18.4,2.7,5.0,3.0,25.58,4,3187.25
26.0,Female,54.0,1.53,175.0,148.0,54.0,1.14,844.0,Strength,26.9,1.7,3.0,1.0,23.07,0,2224.498
54.0,Female,72.3,1.78,163.0,149.0,72.0,1.27,852.0,Cardio,27.7,1.8,2.0,1.0,22.82,0,1884.302
50.0,Male,51.1,1.98,171.0,126.0,52.0,0.92,574.0,Yoga,28.0,2.4,2.0,1.0,13.03,0,1404.302
59.0,Male,89.4,1.72,188.0,152.0,67.0,1.08,813.0,Yoga,24.5,3.2,3.0,1.0,30.22,0,1974.0
41.0,Male,51.5,1.8,166.0,126.0,60.0,1.09,680.0,Strength,26.7,2.1,4.0,2.0,15.9,0,1782.302
32.0,Male,87.9,1.88,173.0,143.0,64.0,1.52,1195.0,Cardio,11.6,3.5,5.0,3.0,24.87,0,1740.302
49.0,Female,42.0,1.52,171.0,130.0,70.0,1.1,644.0,HIIT,28.8,2.2,3.0,1.0,18.18,1,1909.87
49.0,Male,79.2,1.72,194.0,128.0,69.0,1.46,925.0,Yoga,29.9,3.3,3.0,1.0,26.77,0,1947.0
41.0,Male,64.8,1.71,164.0,131.0,54.0,1.2,778.0,Strength,22.5,2.8,3.0,2.0,22.16,0,1326.302
58.0,Female,63.0,1.78,176.0,154.0,73.0,1.58,1095.0,HIIT,17.5,2.7,4.0,3.0,19.88,0,2488.498
29.0,Female,56.2,1.77,191.0,123.0,61.0,0.68,418.0,Yoga,33.4,2.6,3.0,1.0,17.94,0,1470.302
56.0,Female,52.9,1.64,169.0,155.0,53.0,1.1,767.0,Cardio,27.4,2.3,3.0,2.0,19.67,3,2620.27
19.0,Female,49.0,1.69,176.0,147.0,64.0,1.05,772.0,Yoga,29.2,2.4,3.0,1.0,17.16,0,1473.298
20.0,Male,128.2,1.84,164.0,132.0,58.0,0.83,603.0,HIIT,26.2,2.3,3.0,1.0,37.87,0,1443.298
54.0,Male,83.6,1.86,168.0,142.0,56.0,1.54,1082.0,HIIT,12.4,3.5,5.0,3.0,24.16,4,3688.378
34.0,Female,56.2,1.77,192.0,138.0,59.0,1.81,1249.0,Cardio,17.3,2.7,5.0,3.0,17.94,0,1933.502
19.0,Male,87.8,1.78,195.0,161.0,72.0,1.28,1133.0,Cardio,23.6,3.3,2.0,1.0,27.71,0,1572.302
19.0,Male,85.9,1.85,195.0,156.0,62.0,1.66,1424.0,Strength,12.9,3.5,4.0,3.0,25.1,0,2515.502
45.0,Male,51.1,1.87,177.0,158.0,57.0,1.44,1126.0,Cardio,26.2,3.4,4.0,2.0,14.61,0,1672.498
40.0,Female,57.4,1.71,168.0,143.0,61.0,1.87,1337.0,Strength,18.3,2.7,5.0,3.0,19.63,0,1534.8
54.0,Male,114.9,1.92,188.0,135.0,71.0,1.2,802.0,HIIT,20.7,2.6,4.0,2.0,31.17,0,2485.502
49.0,Female,62.1,1.66,173.0,152.0,73.0,1.37,937.0,HIIT,31.3,1.8,3.0,2.0,22.54,0,2169.0
50.0,Male,57.1,1.91,184.0,131.0,68.0,1.09,707.0,Yoga,29.5,2.7,4.0,2.0,15.65,0,1420.8
18.0,Male,68.1,1.8,174.0,153.0,50.0,1.1,926.0,Yoga,25.4,3.3,4.0,2.0,21.02,0,2370.0
36.0,Male,69.2,1.65,165.0,126.0,65.0,1.23,852.0,Strength,27.2,2.7,3.0,1.0,25.42,0,2050.498
19.0,Female,65.2,1.52,188.0,130.0,71.0,1.23,800.0,Cardio,30.6,2.4,3.0,1.0,28.22,0,1368.302
43.0,Male,108.6,1.73,174.0,150.0,66.0,1.33,988.0,Cardio,28.5,2.2,2.0,1.0,36.29,0,2079.0
49.0,Female,40.0,1.65,188.0,148.0,74.0,1.03,686.0,Yoga,34.3,2.5,3.0,2.0,14.69,0,1755.0
23.0,Female,41.9,1.58,163.0,132.0,67.0,0.56,370.0,HIIT,26.8,1.8,3.0,1.0,16.78,0,1600.498
49.0,Female,68.3,1.52,177.0,150.0,60.0,1.45,979.0,Strength,29.4,1.8,4.0,2.0,29.56,0,1504.8
21.0,Male,88.4,1.6,198.0,121.0,67.0,1.71,1138.0,HIIT,12.0,3.5,4.0,3.0,34.53,0,2389.502
28.0,Male,66.0,1.9,175.0,158.0,56.0,1.18,1025.0,HIIT,24.1,3.0,3.0,1.0,18.28,0,1860.0
34.0,Male,71.9,1.64,170.0,134.0,67.0,1.26,929.0,Cardio,21.3,2.1,4.0,2.0,26.73,0,1947.0
55.0,Male,75.6,1.71,173.0,130.0,57.0,1.03,663.0,Strength,28.1,2.0,4.0,2.0,25.85,0,2461.502
41.0,Female,63.4,1.59,162.0,153.0,55.0,1.84,1267.0,HIIT,15.2,2.7,5.0,3.0,25.08,0,1572.302
22.0,Female,71.6,1.77,197.0,158.0,56.0,1.49,1177.0,Yoga,30.3,1.8,3.0,1.0,22.85,0,1954.498
51.0,Female,57.4,1.77,177.0,123.0,72.0,1.08,598.0,Yoga,31.6,2.1,4.0,2.0,18.32,1,2664.062
